# Output of 'KaSim' '-i' './SA_K2RT__FREE__/level3/model_level03_K2RT__FREE__.kappa' '-d' './SA_K2RT__FREE__/level3' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 806350067
# "uuid" : "491873558"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,407
20.,0,0,1000,0,384
30.,0,0,1000,0,435
40.,0,0,1000,0,388
50.,0,0,1000,0,393
60.,0,0,1000,0,357
70.,0,0,1000,0,378
80.,0,0,1000,0,391
90.,0,0,1000,0,409
100.,0,0,1000,0,378
110.,0,0,1000,0,408
120.,0,0,1000,0,379
130.,0,0,1000,0,407
140.,0,0,1000,0,378
150.,0,0,1000,0,399
160.,0,0,1000,0,404
170.,0,0,1000,0,397
180.,0,0,1000,0,372
190.,0,0,1000,0,400
200.,0,0,1000,0,413
210.,0,0,1000,0,391
220.,0,0,1000,0,385
230.,0,0,1000,0,407
240.,0,0,1000,0,357
250.,0,0,1000,0,370
260.,0,0,1000,0,392
270.,0,0,1000,0,398
280.,0,0,1000,0,387
290.,0,0,1000,0,374
300.,0,0,1000,0,407
310.,0,0,1000,0,377
320.,0,0,1000,0,404
330.,0,0,1000,0,385
340.,0,0,1000,0,390
350.,0,0,1000,0,363
360.,0,0,1000,0,397
370.,0,0,1000,0,375
380.,0,0,1000,0,355
390.,0,0,1000,0,382
400.,0,0,1000,0,359
410.,0,0,1000,0,369
420.,0,0,1000,0,393
430.,0,0,1000,0,383
440.,0,0,1000,0,400
450.,0,0,1000,0,378
460.,0,0,1000,0,389
470.,0,0,1000,0,394
480.,0,0,1000,0,379
490.,0,0,1000,0,399
500.,0,0,1000,0,398
510.,0,0,1000,0,377
520.,0,0,1000,0,379
530.,0,0,1000,0,378
540.,0,0,1000,0,383
550.,0,0,1000,0,388
560.,0,0,1000,0,383
570.,0,0,1000,0,381
580.,0,0,1000,0,379
590.,0,0,1000,0,386
600.,0,0,1000,0,388
610.,12647,12152,1000,495,385
620.,12647,12131,1000,516,413
630.,12647,12147,1000,500,393
640.,12647,12161,1000,486,417
650.,12647,12139,1000,508,380
660.,12647,12149,1000,498,412
