# Output of 'KaSim' '-i' './SA_KD1__FREE__/level1/model_level01_KD1__FREE__.kappa' '-d' './SA_KD1__FREE__/level1' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 300747758
# "uuid" : "445399882"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,113
20.,0,0,1000,0,103
30.,0,0,1000,0,101
40.,0,0,1000,0,89
50.,0,0,1000,0,105
60.,0,0,1000,0,93
70.,0,0,1000,0,97
80.,0,0,1000,0,121
90.,0,0,1000,0,106
100.,0,0,1000,0,117
110.,0,0,1000,0,110
120.,0,0,1000,0,105
130.,0,0,1000,0,104
140.,0,0,1000,0,107
150.,0,0,1000,0,116
160.,0,0,1000,0,90
170.,0,0,1000,0,114
180.,0,0,1000,0,114
190.,0,0,1000,0,104
200.,0,0,1000,0,89
210.,0,0,1000,0,126
220.,0,0,1000,0,80
230.,0,0,1000,0,90
240.,0,0,1000,0,89
250.,0,0,1000,0,109
260.,0,0,1000,0,112
270.,0,0,1000,0,91
280.,0,0,1000,0,90
290.,0,0,1000,0,106
300.,0,0,1000,0,104
310.,0,0,1000,0,101
320.,0,0,1000,0,103
330.,0,0,1000,0,89
340.,0,0,1000,0,96
350.,0,0,1000,0,105
360.,0,0,1000,0,106
370.,0,0,1000,0,107
380.,0,0,1000,0,105
390.,0,0,1000,0,96
400.,0,0,1000,0,86
410.,0,0,1000,0,99
420.,0,0,1000,0,112
430.,0,0,1000,0,102
440.,0,0,1000,0,89
450.,0,0,1000,0,116
460.,0,0,1000,0,82
470.,0,0,1000,0,110
480.,0,0,1000,0,101
490.,0,0,1000,0,118
500.,0,0,1000,0,105
510.,0,0,1000,0,101
520.,0,0,1000,0,122
530.,0,0,1000,0,104
540.,0,0,1000,0,98
550.,0,0,1000,0,114
560.,0,0,1000,0,98
570.,0,0,1000,0,99
580.,0,0,1000,0,117
590.,0,0,1000,0,110
600.,0,0,1000,0,108
610.,12647,12549,1000,98,103
620.,12647,12547,1000,100,86
630.,12647,12573,1000,74,87
640.,12647,12554,1000,93,89
650.,12647,12561,1000,86,84
660.,12647,12551,1000,96,97
