# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level6/model_level06_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level6' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 962134937
# "uuid" : "547693319"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,4
20.,0,0,1000,0,3
30.,0,0,1000,0,4
40.,0,0,1000,0,2
50.,0,0,1000,0,3
60.,0,0,1000,0,0
70.,0,0,1000,0,3
80.,0,0,1000,0,0
90.,0,0,1000,0,0
100.,0,0,1000,0,3
110.,0,0,1000,0,3
120.,0,0,1000,0,6
130.,0,0,1000,0,2
140.,0,0,1000,0,3
150.,0,0,1000,0,5
160.,0,0,1000,0,2
170.,0,0,1000,0,0
180.,0,0,1000,0,5
190.,0,0,1000,0,1
200.,0,0,1000,0,0
210.,0,0,1000,0,2
220.,0,0,1000,0,4
230.,0,0,1000,0,2
240.,0,0,1000,0,3
250.,0,0,1000,0,2
260.,0,0,1000,0,0
270.,0,0,1000,0,0
280.,0,0,1000,0,5
290.,0,0,1000,0,1
300.,0,0,1000,0,1
310.,0,0,1000,0,3
320.,0,0,1000,0,1
330.,0,0,1000,0,1
340.,0,0,1000,0,1
350.,0,0,1000,0,1
360.,0,0,1000,0,2
370.,0,0,1000,0,4
380.,0,0,1000,0,2
390.,0,0,1000,0,1
400.,0,0,1000,0,3
410.,0,0,1000,0,1
420.,0,0,1000,0,2
430.,0,0,1000,0,2
440.,0,0,1000,0,0
450.,0,0,1000,0,0
460.,0,0,1000,0,5
470.,0,0,1000,0,3
480.,0,0,1000,0,1
490.,0,0,1000,0,3
500.,0,0,1000,0,3
510.,0,0,1000,0,2
520.,0,0,1000,0,3
530.,0,0,1000,0,5
540.,0,0,1000,0,0
550.,0,0,1000,0,4
560.,0,0,1000,0,2
570.,0,0,1000,0,1
580.,0,0,1000,0,1
590.,0,0,1000,0,1
600.,0,0,1000,0,1
610.,12647,12177,1000,470,2
620.,12647,12162,1000,485,1
630.,12647,12163,1000,484,3
640.,12647,12147,1000,500,3
650.,12647,12147,1000,500,2
660.,12647,12148,1000,499,2
