# Output of 'KaSim' '-i' './SA_km1__FREE__/level10/model_level10_km1__FREE__.kappa' '-d' './SA_km1__FREE__/level10' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 864506881
# "uuid" : "594815479"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,107
20.,0,0,1000,0,123
30.,0,0,1000,0,110
40.,0,0,1000,0,98
50.,0,0,1000,0,120
60.,0,0,1000,0,103
70.,0,0,1000,0,99
80.,0,0,1000,0,103
90.,0,0,1000,0,112
100.,0,0,1000,0,103
110.,0,0,1000,0,85
120.,0,0,1000,0,101
130.,0,0,1000,0,115
140.,0,0,1000,0,101
150.,0,0,1000,0,98
160.,0,0,1000,0,118
170.,0,0,1000,0,106
180.,0,0,1000,0,92
190.,0,0,1000,0,99
200.,0,0,1000,0,122
210.,0,0,1000,0,104
220.,0,0,1000,0,112
230.,0,0,1000,0,114
240.,0,0,1000,0,87
250.,0,0,1000,0,103
260.,0,0,1000,0,97
270.,0,0,1000,0,102
280.,0,0,1000,0,107
290.,0,0,1000,0,98
300.,0,0,1000,0,100
310.,0,0,1000,0,98
320.,0,0,1000,0,111
330.,0,0,1000,0,111
340.,0,0,1000,0,75
350.,0,0,1000,0,116
360.,0,0,1000,0,118
370.,0,0,1000,0,97
380.,0,0,1000,0,88
390.,0,0,1000,0,109
400.,0,0,1000,0,105
410.,0,0,1000,0,113
420.,0,0,1000,0,111
430.,0,0,1000,0,110
440.,0,0,1000,0,104
450.,0,0,1000,0,113
460.,0,0,1000,0,108
470.,0,0,1000,0,111
480.,0,0,1000,0,107
490.,0,0,1000,0,85
500.,0,0,1000,0,109
510.,0,0,1000,0,100
520.,0,0,1000,0,128
530.,0,0,1000,0,87
540.,0,0,1000,0,101
550.,0,0,1000,0,116
560.,0,0,1000,0,104
570.,0,0,1000,0,93
580.,0,0,1000,0,113
590.,0,0,1000,0,87
600.,0,0,1000,0,103
610.,12647,12157,1000,490,144
620.,12647,12142,1000,505,134
630.,12647,12168,1000,479,131
640.,12647,12155,1000,492,140
650.,12647,12154,1000,493,138
660.,12647,12140,1000,507,131
