# Output of 'KaSim' '-i' './SA_kphos__FREE__/level10/model_level10_kphos__FREE__.kappa' '-d' './SA_kphos__FREE__/level10' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 1049924612
# "uuid" : "64687821"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,343
20.,0,0,1000,0,356
30.,0,0,1000,0,340
40.,0,0,1000,0,342
50.,0,0,1000,0,350
60.,0,0,1000,0,371
70.,0,0,1000,0,351
80.,0,0,1000,0,359
90.,0,0,1000,0,355
100.,0,0,1000,0,317
110.,0,0,1000,0,341
120.,0,0,1000,0,359
130.,0,0,1000,0,370
140.,0,0,1000,0,354
150.,0,0,1000,0,348
160.,0,0,1000,0,329
170.,0,0,1000,0,363
180.,0,0,1000,0,329
190.,0,0,1000,0,351
200.,0,0,1000,0,308
210.,0,0,1000,0,318
220.,0,0,1000,0,356
230.,0,0,1000,0,349
240.,0,0,1000,0,344
250.,0,0,1000,0,360
260.,0,0,1000,0,361
270.,0,0,1000,0,345
280.,0,0,1000,0,356
290.,0,0,1000,0,360
300.,0,0,1000,0,368
310.,0,0,1000,0,366
320.,0,0,1000,0,342
330.,0,0,1000,0,364
340.,0,0,1000,0,375
350.,0,0,1000,0,364
360.,0,0,1000,0,334
370.,0,0,1000,0,325
380.,0,0,1000,0,352
390.,0,0,1000,0,361
400.,0,0,1000,0,362
410.,0,0,1000,0,341
420.,0,0,1000,0,373
430.,0,0,1000,0,320
440.,0,0,1000,0,379
450.,0,0,1000,0,357
460.,0,0,1000,0,352
470.,0,0,1000,0,345
480.,0,0,1000,0,370
490.,0,0,1000,0,334
500.,0,0,1000,0,374
510.,0,0,1000,0,354
520.,0,0,1000,0,342
530.,0,0,1000,0,351
540.,0,0,1000,0,338
550.,0,0,1000,0,368
560.,0,0,1000,0,370
570.,0,0,1000,0,309
580.,0,0,1000,0,337
590.,0,0,1000,0,351
600.,0,0,1000,0,344
610.,12647,12148,1000,499,446
620.,12647,12167,1000,480,416
630.,12647,12163,1000,484,434
640.,12647,12137,1000,510,414
650.,12647,12189,1000,458,386
660.,12647,12124,1000,523,432
