1st	2nd	KD1__FREE__	km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__
r1	r1	1.441990603839004	-6.719123133638465e-07	-1.5466812722801754e-05	-1.853230339180536e-05	-3.0322834311927208e-05	-2.8113583183204168e-05
r1	r1_rev	0.9962838780416984	0.0010464675449999537	0.0005442906041584195	-0.0009768770074601017	-0.001010464758243899	0.0004459050128156699
r1	r2	0.7341094930557628	0.014763576454586556	0.04732091091365779	0.09926006549126429	0.00014898228012908915	0.0005060887331157956
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	1.4356375671503818	0.0012345153056650608	0.0016446932761420487	0.0008192597203186884	0.00041641755609759964	0.000751824571096208
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	1.4501142788674293	-1.3697476355463516e-06	-1.53005398072587e-05	-1.865332192000313e-05	-3.0309027538831442e-05	-2.8027493452745046e-05
r1_rev	r1_rev	1.001203277384223	0.0009984336294504269	0.0010298271974204822	0.0004713099079304801	-0.0001343054958466544	0.00041097383785471873
r1_rev	r2	0.9958895294931022	0.0013302156736455597	-2.4086818795185942e-05	0.0015233501349390976	-0.000500139850945991	0.0008711388747644514
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	0.5109910387333019	0.0467343313378912	0.22479692168122248	0.13018512622334202	0.0026724622901200474	0.002038261489317063
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	0.8327561367088682	0.00812014306025019	0.09120939165702514	0.036100365652243456	-0.001520841244283129	-0.0027629107569840626
r2	r3	-0.046411588015845454	-0.14969796204157146	0.8130805000872199	0.0013520413435520974	0.0018410799096974422	-0.13838034667294366
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	-0.01415043350008913	-0.04928635198579401	0.8417952224444973	-0.15831016649592258	0.007878078876039685	-0.036307829809932156
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r3	r2	0.42404424039815225	0.04235877826476878	0.19359593759923122	0.18703633519977456	4.7467294383489324e-05	0.0019824696258116015
r3	r3	0.00015533625385772554	-4.3821778434221047e-05	1.0887054353413306	8.57017007782317e-05	2.132123180493811e-05	1.1646247530972212e-05
r3	r4	0.0228871000507095	0.0020793936283235942	0.9708771009551731	0.0002804297879184035	0.00017158695366815475	0.00013037790452335857
r3	r5	0.0001242327840382865	-4.9324207799453227e-05	1.0916037221743469	8.012194127589227e-05	-5.088992736486952e-05	-2.2555151357619018e-05
r3	r6	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r4	r2	0.0	0.0	0.0	0.0	0.0	0.0
r4	r3	0.00010183157533953027	4.075623765143045e-05	0.4732691767728822	0.0011230040481678561	0.00015817205511545936	-3.06894410158141e-05
r4	r4	0.7780323659720259	0.0014218818901214985	0.2507117200880802	0.002477773307006148	8.775437869642172e-05	0.00012023544605569659
r4	r5	1.5903427715609106e-05	-1.8315253109187977e-05	0.9265043333886209	-0.0024841343996792665	0.001657603708092988	0.001326483023039278
r4	r6	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r5	r2	0.0	0.0	0.0	0.0	0.0	0.0
r5	r3	0.0	0.0	0.0	0.0	0.0	0.0
r5	r4	0.0	0.0	0.0	0.0	0.0	0.0
r5	r5	3.6681049791304065e-05	-2.9651649581081634e-05	0.03569911670748093	-0.0004667664981694942	0.0057414069605459936	0.46021714677484576
r5	r6	-1.1893211764976053e-05	2.248206833973019e-06	0.0010203490606417508	-1.4514963802047733e-05	0.4755642496475735	-0.00013723558860272335
r6	r1	0.0	0.0	0.0	0.0	0.0	0.0
r6	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r6	r2	0.0	0.0	0.0	0.0	0.0	0.0
r6	r3	0.0	0.0	0.0	0.0	0.0	0.0
r6	r4	0.0	0.0	0.0	0.0	0.0	0.0
r6	r5	1.1348908435631555e-05	-6.66154196834739e-05	0.00038903191081898883	-6.126959969117966e-06	0.0007119735249658877	0.03466892010360056
r6	r6	9.945323934835259e-05	8.677552584242847e-06	0.05304243964425096	-0.0001577290939941096	0.8637567963875907	0.006310168851933807
