1st	2nd	KD1__FREE__	km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__
r1	r1	0.9664251941052843	6.301712953294119e-05	3.272904791751217e-05	5.382325859134609e-05	6.189045287302957e-05	5.340538890879153e-05
r1	r1_rev	0.07284203601057603	0.0031239692575286333	0.0026871968320461466	0.002510413503463587	0.0026777387658215553	0.0027538762709692355
r1	r2	0.07166545918941446	0.014242751205251643	0.026056758713718195	0.05009538676032683	0.002957928974434876	0.0028611586350197854
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	0.9882571768120453	0.002065014909876072	0.0029003838607306793	0.0030590588274700117	0.0021386419280095504	0.004041796236275354
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	0.9963640397904105	4.9092226966363696e-05	2.4346030000846632e-05	3.905802336562599e-05	4.4398544577841213e-05	2.610410491796292e-05
r1_rev	r1_rev	0.07732468829039431	0.0021454035199669954	0.0018410473606799021	0.0020244947067625404	0.002367256664433278	0.001898391068148844
r1_rev	r2	0.06851745121472833	0.0034726295273506663	0.0035983887044270892	0.005484613412906602	0.002715730458447781	0.002318499128275416
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	0.3489431641374614	0.026206087222394935	0.07737514784779691	0.03906565620376198	0.0021640117516694814	0.002411934852037539
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	0.0757070551001152	0.011508119589488403	0.025790387442194748	0.02709081454048462	0.003650481704760345	0.0069837145762517115
r2	r3	0.05941654119493782	0.18801340039899617	0.943648302978352	0.0014351523494461145	0.002146601611694141	0.1737448264141218
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	0.023017156380899316	0.07074645734252573	0.9473891973998714	0.21588210699925783	0.009462737822877466	0.07773185000269683
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r3	r2	0.14106327829451618	0.021092769199798977	0.03721456120995488	0.06232569527253237	0.0016457954598311931	0.004011156514787461
r3	r3	0.00048244133830919084	0.0001239523825726251	0.949471699342233	9.4098292865531e-05	2.606885998847677e-05	8.379680724825003e-05
r3	r4	0.016855208526608507	0.0028175856980627227	0.08122134391086129	0.002944168615665055	0.000209361691550643	0.00019200220008329345
r3	r5	0.0005123991350104581	0.0001757677847257793	1.140816018539857	0.00015414191034629284	0.00016383142169184051	7.352657383817659e-05
r3	r6	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r4	r2	0.0	0.0	0.0	0.0	0.0	0.0
r4	r3	0.0007359295615325494	0.00013089262795687608	1.757298207512406	0.0011872277260788467	0.00016738383814101702	6.0764288658361736e-05
r4	r4	0.957891092140004	0.0026157733752399603	0.4152766672852523	0.00393646331043538	0.00013113467290933295	0.00012012188276644836
r4	r5	0.00033687607055520155	0.0001254919041419943	1.6202379133138085	0.008726211140620558	0.005180223545939186	0.022213392154257976
r4	r6	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r5	r2	0.0	0.0	0.0	0.0	0.0	0.0
r5	r3	0.0	0.0	0.0	0.0	0.0	0.0
r5	r4	0.0	0.0	0.0	0.0	0.0	0.0
r5	r5	9.429966747750559e-05	0.00011752014324723196	0.053952540087737325	0.0008467784974617266	0.005364241487003044	0.4280017787265722
r5	r6	0.002554978819197955	0.00031296671878703036	0.016896326609098008	0.00043487400920900115	0.629679475638934	0.29602777956167153
r6	r1	0.0	0.0	0.0	0.0	0.0	0.0
r6	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r6	r2	0.0	0.0	0.0	0.0	0.0	0.0
r6	r3	0.0	0.0	0.0	0.0	0.0	0.0
r6	r4	0.0	0.0	0.0	0.0	0.0	0.0
r6	r5	0.0003926401183350845	0.00025072557817832383	0.0008593310625170012	0.0020441222612335927	0.003722588398926607	0.39922262525390134
r6	r6	0.0002398844292649897	7.936433006376395e-05	0.10749254698488792	0.0003342733140142283	0.6615208214163409	0.007126827829891035
