		KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	KD1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	km1__FREE__	K2RT__FREE__	K2RT__FREE__	K2RT__FREE__	km2__FREE__	km2__FREE__	kphos__FREE__
		km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__	kphos__FREE__	kdephos__FREE__	kdephos__FREE__
1st	2nd															
r1	r1	4.271405106804306e-19	6.8342481708868895e-18	0.0	1.3668496341773779e-17	1.3668496341773779e-17	0.0	1.0251372256330335e-17	1.0251372256330335e-17	1.3668496341773779e-17	3.4171240854434447e-18	3.4171240854434447e-18	3.4171240854434447e-18	0.0	1.7085620427217224e-18	3.4171240854434447e-18
r1	r1_rev	2.7336992683547558e-17	0.0	1.7085620427217224e-18	5.4673985367095116e-17	2.7336992683547558e-17	8.542810213608612e-19	0.0	8.542810213608612e-19	8.542810213608612e-19	1.3668496341773779e-17	1.3668496341773779e-17	4.100548902532134e-17	0.0	6.8342481708868895e-18	5.4673985367095116e-17
r1	r2	4.3739188293676093e-16	8.747837658735219e-16	8.747837658735219e-16	0.0	2.1869594146838046e-16	1.0934797073419023e-16	0.0	2.1869594146838046e-16	3.2804391220257073e-16	1.0934797073419023e-16	1.0934797073419023e-16	5.4673985367095116e-17	2.1869594146838046e-16	2.1869594146838046e-16	0.0
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	2.1869594146838046e-16	3.2804391220257073e-16	2.1869594146838046e-16	1.0934797073419023e-16	3.4171240854434447e-18	1.0934797073419023e-16	0.0	5.4673985367095116e-17	5.4673985367095116e-17	0.0	1.0934797073419023e-16	2.1869594146838046e-16	1.0934797073419023e-16	1.0934797073419023e-16	5.4673985367095116e-17
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	4.271405106804306e-19	6.8342481708868895e-18	0.0	1.3668496341773779e-17	6.8342481708868895e-18	1.3668496341773779e-17	1.3668496341773779e-17	6.8342481708868895e-18	6.8342481708868895e-18	0.0	3.4171240854434447e-18	3.4171240854434447e-18	8.542810213608612e-19	8.542810213608612e-19	0.0
r1_rev	r1_rev	2.7336992683547558e-17	1.3668496341773779e-17	6.8342481708868895e-18	5.4673985367095116e-17	2.7336992683547558e-17	1.7085620427217224e-18	1.7085620427217224e-18	1.7085620427217224e-18	0.0	2.7336992683547558e-17	2.7336992683547558e-17	1.3668496341773779e-17	1.3668496341773779e-17	2.050274451266067e-17	8.201097805064268e-17
r1_rev	r2	5.4673985367095116e-17	2.7336992683547558e-17	8.542810213608612e-19	5.4673985367095116e-17	0.0	4.271405106804306e-19	0.0	0.0	8.542810213608612e-19	6.8342481708868895e-18	6.8342481708868895e-18	3.4171240854434447e-18	1.3668496341773779e-17	1.3668496341773779e-17	2.7336992683547558e-17
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	0.0	1.312175648810283e-15	0.0	8.747837658735219e-16	4.3739188293676093e-16	1.0934797073419023e-16	1.0934797073419023e-16	2.1869594146838046e-16	2.1869594146838046e-16	1.3668496341773779e-17	0.0	0.0	2.1869594146838046e-16	1.0934797073419023e-16	4.100548902532134e-17
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	4.3739188293676093e-16	0.0	4.3739188293676093e-16	0.0	2.1869594146838046e-16	1.0934797073419023e-16	1.0934797073419023e-16	0.0	1.0934797073419023e-16	1.3668496341773779e-17	6.8342481708868895e-18	6.8342481708868895e-18	0.0	0.0	5.4673985367095116e-17
r2	r3	4.3739188293676093e-16	2.1869594146838046e-16	6.560878244051415e-16	2.1869594146838046e-16	3.2804391220257073e-16	5.4673985367095116e-17	5.4673985367095116e-17	2.7336992683547558e-17	2.7336992683547558e-17	0.0	6.8342481708868895e-18	1.3668496341773779e-17	5.4673985367095116e-17	0.0	6.8342481708868895e-18
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	0.0	4.3739188293676093e-16	0.0	1.7495675317470437e-15	8.747837658735219e-16	4.3739188293676093e-16	4.3739188293676093e-16	4.3739188293676093e-16	0.0	8.747837658735219e-16	8.747837658735219e-16	0.0	0.0	6.998270126988175e-15	0.0
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
