1st	2nd	KD1__FREE__	km1__FREE__	K2RT__FREE__	km2__FREE__	kphos__FREE__	kdephos__FREE__
r1	r1	1.7495675317470437e-15	8.34258809922716e-22	1.3348140958763456e-20	3.337035239690864e-21	1.0678512767010765e-19	4.004442287629037e-20
r1	r1_rev	8.747837658735219e-16	3.337035239690864e-21	0.0	2.135702553402153e-19	1.7085620427217224e-18	4.271405106804306e-19
r1	r2	4.3739188293676093e-16	1.3668496341773779e-17	1.0251372256330335e-17	2.7336992683547558e-17	6.8342481708868895e-18	2.135702553402153e-19
r1	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1	r4	8.747837658735219e-16	1.3668496341773779e-17	1.3668496341773779e-17	0.0	6.8342481708868895e-18	4.271405106804306e-19
r1	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1	r6	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r1	0.0	3.337035239690864e-21	1.3348140958763456e-20	1.3348140958763456e-20	0.0	0.0
r1_rev	r1_rev	1.7495675317470437e-15	1.3348140958763456e-20	4.271405106804306e-19	2.135702553402153e-19	3.4171240854434447e-18	8.542810213608612e-19
r1_rev	r2	1.7495675317470437e-15	1.3348140958763456e-20	1.0678512767010765e-19	4.271405106804306e-19	0.0	0.0
r1_rev	r3	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r4	0.0	2.7336992683547558e-17	4.271405106804306e-19	2.7336992683547558e-17	0.0	0.0
r1_rev	r5	0.0	0.0	0.0	0.0	0.0	0.0
r1_rev	r6	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1	0.0	0.0	0.0	0.0	0.0	0.0
r2	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r2	r2	0.0	2.050274451266067e-17	6.674070479381728e-21	1.3668496341773779e-17	8.542810213608612e-19	0.0
r2	r3	6.560878244051415e-16	1.7085620427217224e-18	1.0934797073419023e-16	6.8342481708868895e-18	2.135702553402153e-19	4.004442287629037e-20
r2	r4	0.0	0.0	0.0	0.0	0.0	0.0
r2	r5	0.0	0.0	1.0934797073419023e-16	2.79930805079527e-14	3.4991350634940874e-15	3.4991350634940874e-15
r2	r6	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1	0.0	0.0	0.0	0.0	0.0	0.0
r3	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r3	r2	0.0	2.050274451266067e-17	0.0	2.050274451266067e-17	1.0678512767010765e-19	1.0678512767010765e-19
r3	r3	2.1869594146838046e-16	1.7085620427217224e-18	0.0	6.8342481708868895e-18	6.40710766020646e-19	1.3348140958763456e-20
r3	r4	4.3739188293676093e-16	1.7085620427217224e-18	0.0	1.7085620427217224e-18	1.3348140958763456e-20	3.337035239690864e-21
r3	r5	0.0	3.4171240854434447e-18	5.4673985367095116e-17	0.0	3.20355383010323e-19	0.0
r3	r6	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1	0.0	0.0	0.0	0.0	0.0	0.0
r4	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r4	r2	0.0	0.0	0.0	0.0	0.0	0.0
r4	r3	6.560878244051415e-16	1.7085620427217224e-18	1.0934797073419023e-16	6.8342481708868895e-18	6.40710766020646e-19	1.3348140958763456e-20
r4	r4	0.0	8.542810213608612e-19	2.7336992683547558e-17	4.271405106804306e-19	1.0678512767010765e-19	0.0
r4	r5	2.7336992683547558e-17	1.042823512403395e-22	3.4171240854434447e-18	6.998270126988175e-15	1.0934797073419023e-16	3.4171240854434447e-18
r4	r6	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1	0.0	0.0	0.0	0.0	0.0	0.0
r5	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r5	r2	0.0	0.0	0.0	0.0	0.0	0.0
r5	r3	0.0	0.0	0.0	0.0	0.0	0.0
r5	r4	0.0	0.0	0.0	0.0	0.0	0.0
r5	r5	0.0	8.542810213608612e-19	0.0	4.3739188293676093e-16	6.998270126988175e-15	5.59861610159054e-14
r5	r6	4.100548902532134e-17	1.7085620427217224e-18	1.3668496341773779e-17	8.747837658735219e-16	1.7915571525089728e-12	4.478892881272432e-13
r6	r1	0.0	0.0	0.0	0.0	0.0	0.0
r6	r1_rev	0.0	0.0	0.0	0.0	0.0	0.0
r6	r2	0.0	0.0	0.0	0.0	0.0	0.0
r6	r3	0.0	0.0	0.0	0.0	0.0	0.0
r6	r4	0.0	0.0	0.0	0.0	0.0	0.0
r6	r5	2.135702553402153e-19	1.281421532041292e-18	2.135702553402153e-19	0.0	1.7495675317470437e-15	1.399654025397635e-14
r6	r6	4.100548902532134e-17	1.7085620427217224e-18	1.3668496341773779e-17	0.0	1.7915571525089728e-12	2.239446440636216e-13
