# Output of 'KaSim' '-i' 'model_level11.kappa' '-l' '660' '-p' '10' '-o' 'model_level11.out.txt' '-syntax' '3' '--no-log' -seed 1061397732
# "uuid" : "679240085"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,197
20.,0,0,1000,0,194
30.,0,0,1000,0,193
40.,0,0,1000,0,198
50.,0,0,1000,0,193
60.,0,0,1000,0,178
70.,0,0,1000,0,209
80.,0,0,1000,0,205
90.,0,0,1000,0,193
100.,0,0,1000,0,169
110.,0,0,1000,0,190
120.,0,0,1000,0,207
130.,0,0,1000,0,200
140.,0,0,1000,0,215
150.,0,0,1000,0,199
160.,0,0,1000,0,181
170.,0,0,1000,0,192
180.,0,0,1000,0,203
190.,0,0,1000,0,189
200.,0,0,1000,0,202
210.,0,0,1000,0,207
220.,0,0,1000,0,193
230.,0,0,1000,0,209
240.,0,0,1000,0,176
250.,0,0,1000,0,214
260.,0,0,1000,0,207
270.,0,0,1000,0,198
280.,0,0,1000,0,202
290.,0,0,1000,0,215
300.,0,0,1000,0,191
310.,0,0,1000,0,202
320.,0,0,1000,0,170
330.,0,0,1000,0,186
340.,0,0,1000,0,217
350.,0,0,1000,0,211
360.,0,0,1000,0,193
370.,0,0,1000,0,203
380.,0,0,1000,0,195
390.,0,0,1000,0,205
400.,0,0,1000,0,197
410.,0,0,1000,0,194
420.,0,0,1000,0,210
430.,0,0,1000,0,211
440.,0,0,1000,0,203
450.,0,0,1000,0,196
460.,0,0,1000,0,192
470.,0,0,1000,0,184
480.,0,0,1000,0,196
490.,0,0,1000,0,196
500.,0,0,1000,0,195
510.,0,0,1000,0,179
520.,0,0,1000,0,189
530.,0,0,1000,0,207
540.,0,0,1000,0,206
550.,0,0,1000,0,208
560.,0,0,1000,0,193
570.,0,0,1000,0,199
580.,0,0,1000,0,215
590.,0,0,1000,0,179
600.,0,0,1000,0,201
610.,12647,12478,1000,169,182
620.,12647,12471,1000,176,200
630.,12647,12455,1000,192,206
640.,12647,12465,1000,182,180
650.,12647,12481,1000,166,176
660.,12647,12470,1000,177,163
